verbo,aspecto.lexico
abundar,estado
amar,estado
bastar,estado
caber,estado
carecer,estado
conocer,estado
consistir,estado
constar,estado
creer,estado
depender,estado
desear,estado
equivaler,estado
existir,estado
gustar,estado
merecer,estado
necesitar,estado
odiar,estado
pertenecer,estado
poseer,estado
preferir,estado
permanecer,estado
residir,estado
sobrar,estado
temer,estado
acariciar,proceso
bailar,proceso
buscar,proceso
caminar,proceso
correr,proceso
escuchar,proceso
esperar,proceso
estudiar,proceso
explorar,proceso
fumar,proceso
gritar,proceso
investigar,proceso
jugar,proceso
llorar,proceso
mirar,proceso
nadar,proceso
observar,proceso
pasear,proceso
pensar,proceso
perseguir,proceso
soÃḟar,proceso
temblar,proceso
trabajar,proceso
viajar,proceso
acudir,realizaciÃġn
aparcar,realizaciÃġn
aprender,realizaciÃġn
beber,realizaciÃġn
comer,realizaciÃġn
concretar,realizaciÃġn
congelar,realizaciÃġn
construir,realizaciÃġn
convencer,realizaciÃġn
convertir,realizaciÃġn
decidir,realizaciÃġn
destruir,realizaciÃġn
dibujar,realizaciÃġn
elaborar,realizaciÃġn
fabricar,realizaciÃġn
fundir,realizaciÃġn
instalar,realizaciÃġn
leer,realizaciÃġn
pintar,realizaciÃġn
reparar,realizaciÃġn
resolver,realizaciÃġn
resumir,realizaciÃġn
solucionar,realizaciÃġn
volver,realizaciÃġn
abrir,logro
acertar,logro
apagar,logro
atrapar,logro
capturar,logro
cerrar,logro
chocar,logro
descubrir,logro
despertar,logro
detectar,logro
disparar,logro
encender,logro
enterarse,logro
ganar,logro
iniciar,logro
lograr,logro
morir,logro
nacer,logro
obtener,logro
perder,logro
recibir,logro
reconocer,logro
surgir,logro
tropezar,logro
