condicional,futuro,gerundio,imperfecto,imperfecto subj,infinitivo,participio,presente,presente durativo,presente subj,pretérito,pretérito perf,pretérito pluscuam,verb,type
3,21,56,153,14,61,26,961,0,30,96,23,0,abundar,token
3,21,49,121,14,52,26,634,0,30,91,23,0,abundar,document
17,57,208,672,123,998,1062,4819,6,213,468,112,92,amar,token
17,45,147,287,80,485,493,1537,6,134,271,88,57,amar,document
475,415,14,759,77,99,249,4456,0,461,453,87,40,bastar,token
337,254,13,368,59,80,188,2107,0,328,321,85,28,bastar,document
825,113,4,1075,110,100,35,7873,0,276,450,15,3,caber,token
548,78,4,502,87,90,30,3838,0,227,292,13,3,caber,document
82,50,67,1020,91,441,57,3053,0,214,123,33,16,carecer,token
66,44,66,541,80,344,55,1764,0,164,110,32,16,carecer,document
162,696,642,5060,668,11497,8146,13913,18,1291,3724,1217,727,conocer,token
125,572,466,1791,418,5838,3895,5020,17,958,1752,802,313,conocer,document
224,341,26,1285,37,327,206,6493,2,82,581,164,30,consistir,token
171,271,26,622,32,228,174,2600,2,70,397,139,27,consistir,document
10,179,20,360,39,730,8,2459,0,491,18,7,0,constar,token
9,136,19,248,35,436,8,1451,0,309,16,7,0,constar,document
168,273,803,4594,333,4236,1145,41652,9,170438,3276,622,291,creer,token
134,197,511,1679,232,1907,646,11495,9,82405,1174,460,171,creer,document
80,1056,1310,580,123,744,64,6314,5,237,45,39,10,depender,token
72,696,686,367,108,555,61,2858,5,196,37,38,8,depender,document
556,52,684,2021,251,780,1220,13978,237,1578,1024,107,86,desear,token
409,46,427,725,172,529,730,5328,194,905,574,94,58,desear,document
151,27,0,184,12,42,3,1221,0,15,7,0,0,equivaler,token
134,22,0,131,11,35,3,744,0,13,7,0,0,equivaler,document
251,324,580,3916,940,2765,1226,26499,3,2586,953,683,167,existir,token
204,266,449,1804,634,1495,855,9682,3,1546,626,543,130,existir,document
4044,210,108,3305,206,480,1798,18057,23,887,1191,741,139,gustar,token
2005,174,86,912,160,362,911,4961,18,606,660,506,99,gustar,document
221,46,41,943,94,306,713,4703,4,307,453,262,51,merecer,token
193,42,37,553,72,237,583,2704,4,240,373,245,45,merecer,document
411,648,145,3024,231,502,551,12275,28,755,1791,184,48,necesitar,token
315,470,124,1170,166,385,433,5014,24,537,1143,164,35,necesitar,document
9,32,34,415,0,195,194,2889,0,43,114,21,9,odiar,token
9,23,33,206,0,134,144,1133,0,39,80,20,8,odiar,document
49,59,94,1633,176,898,289,5319,0,314,407,72,146,pertenecer,token
44,50,89,847,132,671,200,2968,0,226,303,66,99,pertenecer,document
17,45,50,1364,87,1232,275,6662,0,532,85,16,27,poseer,token
16,43,46,656,69,701,175,2791,0,312,66,15,24,poseer,document
409,69,109,963,64,214,1204,4894,0,312,1176,426,54,preferir,token
325,64,97,481,57,175,870,2659,0,269,843,388,47,preferir,document
135,821,199,1595,228,2205,850,3456,0,473,2178,458,228,permanecer,token
111,729,165,714,180,1304,646,2061,0,382,1062,394,157,permanecer,document
18,36,86,449,20,233,62,1971,7,111,112,30,20,residir,token
17,35,74,342,20,171,56,1434,6,78,101,28,19,residir,document
33,28,11,275,30,34,282,1900,0,176519,137,41,12,sobrar,token
30,26,11,190,29,32,197,1074,0,39924,119,36,11,sobrar,document
5,26,316,1253,187,823,347,3310,3,25357,439,36,46,temer,token
5,22,201,580,123,584,272,1941,3,9856,222,35,39,temer,document
12,12,214,406,45,345,114,577,10,33,417,13,25,acariciar,token
11,10,141,161,37,215,102,297,10,30,140,13,24,acariciar,document
5,44,547,435,43,1325,112,852,20,2917,268,46,20,bailar,token
5,39,296,216,35,546,85,406,17,1131,158,33,18,bailar,document
124,550,3676,2238,367,7247,1141,10670,356,775,2235,574,137,buscar,token
104,435,1744,995,262,3572,801,4765,303,597,1029,471,108,buscar,document
19,45,723,814,42,1459,101,17684,4,88,593,41,33,caminar,token
18,40,361,285,33,650,74,5907,4,63,208,38,23,caminar,document
278,350,1809,1534,140,2797,659,3715,46,328,1490,270,107,correr,token
221,301,803,651,122,1290,465,1966,42,257,725,255,84,correr,document
47,148,1010,1517,163,3814,1009,4144,123,504,2076,412,222,escuchar,token
42,119,538,432,122,1683,613,1513,101,340,866,314,133,escuchar,document
137,362,3232,5551,372,7003,1182,17164,508,1062,2035,165,154,esperar,token
115,259,1347,2381,222,3597,887,8265,371,703,1094,140,99,esperar,document
75,823,1307,565,134,4743,1802,20922,503,382,1537,805,198,estudiar,token
67,582,963,376,116,2556,1137,6838,454,334,966,582,143,estudiar,document
4,23,106,41,12,560,85,215,17,27,73,24,13,explorar,token
4,21,93,39,11,385,74,177,17,25,59,23,13,explorar,document
17,27,431,474,30,1616,124,877,21,130,132,56,19,fumar,token
16,15,219,217,26,553,89,402,14,86,85,42,18,fumar,document
16,46,745,908,37,966,111,3630,18,172,1610,44,27,gritar,token
15,35,404,424,37,472,85,1328,16,118,414,37,24,gritar,document
7,133,486,113,76,1591,394,1185,202,300,239,159,21,investigar,token
7,91,408,97,71,1117,327,868,176,227,200,136,18,investigar,document
132,1126,1981,1510,237,5896,1477,18163,386,566,2241,871,188,jugar,token
109,852,1229,829,200,3118,1081,7411,301,463,1527,690,140,jugar,document
28,54,947,707,43,2180,201,1145,86,248,447,85,41,llorar,token
25,41,404,280,36,682,155,532,54,156,248,73,32,llorar,document
67,153,3992,3810,282,4391,692,14575,247,2898,6838,268,101,mirar,token
56,115,1007,576,162,1480,395,2734,159,1174,1151,192,66,mirar,document
2,9,140,59,10,402,15,60859,4,13,44,8,4,nadar,token
2,9,106,49,10,244,15,13905,4,12,36,8,4,nadar,document
27,187,921,933,0,3129,1267,4429,49,323,2417,579,158,observar,token
24,137,493,332,0,1403,735,1741,46,236,930,389,118,observar,document
14,26,499,625,45,933,117,5107,16,47,355,48,22,pasear,token
14,25,319,340,41,498,96,2056,14,45,243,43,19,pasear,document
334,557,3998,5437,462,12188,2883,15580,577,1626,8298,1205,589,pensar,token
236,383,1678,1769,320,4382,1357,5732,392,984,2247,698,323,pensar,document
24,66,259,500,60,582,736,1504,7,122,244,77,32,perseguir,token
21,50,215,351,55,421,481,1045,7,110,216,72,25,perseguir,document
19,33,481,603,75,880,698,10164,69,98,575,173,195,soñar,token
17,19,294,335,39,495,408,2578,54,78,332,131,130,soñar,document
15,20,345,559,48,475,30,478,54,73,198,14,12,temblar,token
13,18,196,196,37,300,25,278,45,55,125,12,11,temblar,document
67,310,3352,2255,176,7514,1733,49523,687,558,1961,1130,319,trabajar,token
61,255,2128,1184,156,3684,1229,15148,554,440,1256,866,238,trabajar,document
